Name,Age,YearsExperience,EducationLevel,PerformanceRating,Location,Salary
Sarah Miller,43,22.1,Master,Average,Chicago,104106.57
Emily Johnson,58,30.4,Master,Average,Phoenix,113307.89
Alex Brown,54,30.4,Associate,Good,Phoenix,86120.64
Chris Martinez,26,6.3,Bachelor,Average,Los Angeles,59046.08
Michael Brown,25,1.8,Bachelor,Average,Phoenix,42560.3
Alex Jones,51,30.3,High School,Poor,Chicago,79718.21
Alex Garcia,56,38.0,Associate,Poor,Chicago,101970.0
Laura Garcia,34,14.5,Bachelor,Average,New York,80697.94
Michael Garcia,51,28.7,Associate,Poor,Houston,81185.36
Jane Martinez,40,16.5,Bachelor,Poor,Los Angeles,78493.97
Anna Jones,49,24.4,High School,Average,Phoenix,66641.03
David Martinez,47,27.5,Bachelor,Good,Phoenix,95664.03
David Garcia,44,26.0,PhD,Average,Phoenix,117300.0
David Jones,22,0.0,Bachelor,Poor,New York,43200.0
Emily Brown,22,0.0,Bachelor,Poor,Los Angeles,41400.0
Alex Rodriguez,46,23.0,High School,Poor,Houston,64528.72
Anna Garcia,22,4.0,Bachelor,Average,Chicago,51480.0
Laura Johnson,24,5.1,Master,Excellent,Phoenix,63469.14
Emily Davis,33,7.4,Associate,Average,Los Angeles,52085.01
Michael Williams,43,21.7,High School,Average,Chicago,68783.4
Anna Martinez,50,27.3,PhD,Good,Houston,129763.15
Michael Davis,47,29.0,PhD,Good,Houston,134347.5
Laura Johnson,47,15.3,Bachelor,Excellent,Chicago,83367.44
Anna Jones,54,28.9,High School,Average,Phoenix,73390.26
Anna Smith,51,27.7,PhD,Good,Chicago,137210.3
Anna Smith,26,4.4,Master,Average,Phoenix,54939.63
Laura Jones,57,34.6,Associate,Good,Houston,97770.08
Jane Garcia,40,16.6,Bachelor,Average,New York,85651.03
Alex Miller,53,32.2,Bachelor,Good,Houston,110060.06
Chris Smith,25,5.7,Bachelor,Average,Chicago,55189.17
Jane Davis,37,15.6,Master,Excellent,New York,104512.38
Chris Garcia,49,25.2,Bachelor,Average,Chicago,96952.6
Anna Garcia,53,31.3,Bachelor,Good,Los Angeles,118581.19
Michael Rodriguez,56,36.0,Associate,Average,Houston,96996.42
Jane Smith,54,36.0,PhD,Good,Los Angeles,167670.0
Alex Jones,58,30.1,Bachelor,Good,New York,120936.34
Emily Johnson,33,12.3,Bachelor,Average,Los Angeles,72473.07
Laura Jones,31,8.7,Bachelor,Average,Houston,58711.05
Laura Brown,50,26.5,Bachelor,Average,Los Angeles,104367.52
Anna Rodriguez,29,7.6,Master,Average,New York,74581.55
Michael Davis,50,26.2,Bachelor,Good,Chicago,102467.44
John Jones,25,5.5,Master,Excellent,Phoenix,64484.81
Laura Williams,32,11.1,Bachelor,Good,Chicago,69979.56
Chris Rodriguez,42,21.7,Bachelor,Excellent,Los Angeles,101660.79
Emily Martinez,57,36.7,Bachelor,Excellent,Houston,123351.54
John Miller,56,31.9,Master,Good,Houston,125691.97
David Williams,56,28.6,Bachelor,Poor,Phoenix,91842.12
Anna Miller,53,27.3,Master,Excellent,Houston,119186.71
Jane Rodriguez,45,23.5,PhD,Poor,Los Angeles,124235.38
David Williams,33,14.2,High School,Good,Chicago,59751.66
Sarah Martinez,34,9.4,Master,Good,Chicago,76095.08
Chris Davis,51,31.4,PhD,Good,Houston,140697.95
Chris Smith,38,15.0,Bachelor,Average,Chicago,75122.36
Emily Johnson,46,28.0,Bachelor,Poor,New York,108720.0
Laura Williams,43,19.2,Master,Excellent,New York,114323.81
Sarah Smith,57,34.1,Bachelor,Average,Los Angeles,121330.68
Emily Rodriguez,33,12.2,Bachelor,Good,Los Angeles,75604.96
Alex Williams,52,29.6,High School,Excellent,Phoenix,81439.64
Emily Garcia,40,15.4,PhD,Average,Houston,94891.19
Michael Garcia,26,4.0,Bachelor,Poor,Houston,45902.28
Michael Rodriguez,56,37.4,Associate,Good,Chicago,107427.69
Anna Jones,42,24.0,Bachelor,Good,Chicago,97680.0
Laura Jones,57,39.0,Associate,Average,Houston,102217.5
Jane Brown,33,12.2,Bachelor,Average,Chicago,69098.49
Michael Smith,30,9.8,PhD,Good,Chicago,87005.47
John Martinez,59,41.0,Master,Good,New York,168300.0
Anna Garcia,28,1.7,Master,Excellent,Los Angeles,64151.18
Anna Miller,30,6.8,Associate,Average,Chicago,48731.91
Alex Johnson,48,24.6,PhD,Good,Chicago,128366.21
Laura Smith,58,36.7,Bachelor,Good,New York,136268.99
Michael Miller,59,40.5,Master,Average,Los Angeles,156448.18
Chris Miller,28,4.6,Bachelor,Excellent,Los Angeles,63143.41
Michael Garcia,46,18.8,PhD,Average,Chicago,108750.25
Jane Garcia,52,33.2,PhD,Average,Los Angeles,156033.73
David Rodriguez,40,18.9,Bachelor,Good,New York,94702.57
Michael Rodriguez,48,30.0,Associate,Average,Chicago,90750.0
Anna Davis,31,8.1,Master,Excellent,New York,84251.17
Emily Garcia,49,27.0,High School,Excellent,Phoenix,77479.47
Sarah Martinez,41,22.8,Associate,Poor,Houston,71024.24
Michael Davis,34,14.3,Associate,Poor,New York,64338.93
Michael Garcia,49,26.7,Associate,Average,Phoenix,77011.64
Alex Davis,46,25.2,Bachelor,Good,Phoenix,91150.01
David Martinez,54,32.7,Master,Average,Houston,124438.26
Jane Garcia,58,36.0,Bachelor,Excellent,Chicago,127901.03
John Miller,57,36.4,Associate,Good,Los Angeles,110508.62
Sarah Johnson,39,17.2,PhD,Average,Chicago,104242.36
John Davis,35,10.3,Bachelor,Excellent,Houston,69406.23
Jane Brown,44,26.0,Bachelor,Good,New York,111240.0
John Miller,32,9.7,Associate,Average,Phoenix,48950.89
Emily Johnson,49,29.9,Master,Good,Phoenix,115340.09
Emily Brown,29,8.4,Bachelor,Average,Phoenix,55356.94
John Jones,29,3.9,Master,Average,Los Angeles,61782.9
Chris Jones,49,21.3,Master,Average,New York,111407.08
Alex Smith,41,20.1,Bachelor,Good,Phoenix,81170.49
Sarah Smith,34,9.3,Associate,Poor,Houston,47620.49
Chris Johnson,56,35.5,Master,Good,Chicago,140602.5
Chris Martinez,27,1.0,Associate,Good,Phoenix,37714.85
John Rodriguez,51,33.0,Bachelor,Good,New York,127620.0
John Garcia,26,3.8,Master,Good,New York,67803.75
Laura Garcia,22,0.0,High School,Poor,Phoenix,27000.0
Alex Johnson,39,11.9,Associate,Good,Phoenix,55569.98
Chris Miller,43,25.0,Bachelor,Good,Chicago,99825.0
Laura Rodriguez,48,23.9,Bachelor,Poor,New York,99167.1
Chris Brown,56,34.3,Bachelor,Excellent,Houston,118589.82
Sarah Garcia,22,1.0,Bachelor,Good,Chicago,48403.71
David Miller,26,8.0,Master,Average,Los Angeles,72450.0
Laura Johnson,59,37.5,High School,Poor,Houston,87411.38
Jane Miller,58,38.4,Master,Good,Phoenix,134451.0
Chris Rodriguez,31,7.6,Bachelor,Average,Chicago,59308.83
David Smith,35,14.9,PhD,Good,Chicago,101106.28
